id;nom;prix;marque
1; beignets;; 
2; chocolatines margarine;; 
3; churros;; 
4; cordons bleus de dinde;; 
5; croissant;; 
6; croquette monsieur butes;; 
7;abat de veau;; 
8;abats d agneau;; 
9;abats de boeuf;; 
10;abricot;; 
11;agneau;; 
12;aiguillette de  poulet;; 
13;aiguillette de canard;; 
14;aiguillette de dinde;; 
15;ail;; 
16;aile de poulet;; 
17;ailerons de dinde;; 
18;ailes de poisson;; 
19;amande;; 
20;anchois;; 
21;arachides ;; 
22;arôme;; 
23;aubergines;; 
24;baguette;; 
25;banane;; 
26;barre caramel;; 
27;barre céréale;; 
28;barre chocolat;; 
29;bâtonnets de saucisson;; 
30;bavette de bœuf;; 
31;beignets pomme;; 
32;beurre de cacahuètes;; 
33;beurre de cajou;; 
34;beurre léger;; 
35;biscuits;; 
36;blanc de poulet ;; 
37;blanquette de veau;; 
38;bœuf  haché;; 
39;boisson à l'avoine;; 
40;bonbons;; 
41;boudin;; 
42;boulettes de viande;; 
43;boulghour;; 
44;brioche;; 
45;brochette de viande bovine;; 
46;buche glacée;; 
47;cabillaud pané;; 
48;cacahuette;; 
49;cacao;; 
50;café;; 
51;canard;; 
52;carottes;; 
53;carré chocolat;; 
54;cassoulet;; 
55;cerises;; 
56;chair  de crabe;; 
57;champignons;; 
58;chausson aux pommes;; 
59;chips;; 
60;citron;; 
61;coeur d artichauts;; 
62;coeur d'ananas en tranche;; 
63;cœur de bœuf;; 
64;compote fruits;; 
65;confit de figues;; 
66;confiture;; 
67;coquillettes;; 
68;cordón bleu;; 
69;côte de bœuf;; 
70;couscous;; 
71;crème balsamique;; 
72;creme brulée;; 
73;creme legere;; 
74;crepe;; 
75;croissant;; 
76;cuisse de poulet;; 
77;cuisse dinde;; 
78;dinde noire;; 
79;eau ;; 
80;eclair vanille;; 
81;émincé de viande;; 
82;emmental;; 
83;escalope;; 
84;escargot;; 
85;farine;; 
86;feta;; 
87;feuille de vigne;; 
88;feve de soja;; 
89;filet americain;; 
90;fondants citron;; 
91;fondu;; 
92;fraises;; 
93;framboise;; 
94;fromage;; 
95;galette de pomme de terre;; 
96;galette de riz;; 
97;galette des rois;; 
98;gateaux basques;; 
99;gaufres chocolat;; 
100;graines;; 
101;gratin dauphinois;; 
102;hachis parmentier;; 
103;huile d’olive;; 
104;jambon;; 
105;jue d'orange;; 
106;jus multifruit;; 
107;lait;; 
108;lentilles;; 
109;maïs;; 
110;nouille;; 
111;œuf;; 
112;oeuf de pâques;; 
113;oignons;; 
114;pain;; 
115;pastilles;; 
116;pâte  feuilletée;; 
117;pâté;; 
118;pâte à tartiner nestlé dessert;; 
119;patin feuilleté;; 
120;pâtisserie;; 
121;paupiette;; 
122;pavé;; 
123;pêches;; 
124;petit pois;; 
125;pizza;; 
126;poivre;; 
127;poivron;; 
128;queues de crevettes;; 
129;quiche;; 
130;raisins;; 
131;riz;; 
132;roti;; 
133;sablés;; 
134;salade;; 
135;sandwich;; 
136;sardines;; 
137;sauce;; 
138;saucisson ;; 
139;saumon;; 
140;sel ;; 
141;semoule ;; 
142;sirop ;; 
143;sorbet;; 
144;soupe;; 
145;souris  d'agneau;; 
146;spaghettis;; 
147;steak hache;; 
148;suisse chocolat;; 
149;sushi ;; 
150;tablette chocolat;; 
151;taboulé;; 
152;tartare;; 
153;tarte;; 
154;tartiflette;; 
155;terrine de campagne;; 
156;thé;; 
157;thon;; 
158;tiramisu ;; 
159;tisane;; 
160;toblerone;; 
161;tofu;; 
162;tomate;; 
163;tomate cerise;; 
164;tome de savoie;; 
165;tomme noir;; 
166;tortillas ;; 
167;tourade;; 
168;tourte;; 
169;tripes;; 
170;tropézienne;; 
171;truite;; 
172;tuiles;; 
173;vache qui rit;; 
174;vanille;; 
175;veau;; 
176;vegenaise ail aïoli;; 
177;vegetal;; 
178;velours;; 
179;velouté ;; 
180;velouté fruix;; 
181;vermicelle;; 
182;verrine;; 
183;viande boeuf;; 
184;vianigrette;; 
185;viennnoiserie;; 
186;vieux gouda;; 
187;vin;; 
188;vinaigre;; 
189;vitamines;; 
190;volaille;; 
191;wrap;; 
192;yahourt;; 
193;yoplait;; 
